cohort_id,condition,module,week,rho,lo,hi,n,indicator
STAT0002_2021,online,STAT0002,1,0.24079340546665534,0.13200163796110412,0.34385324617118485,342,Frequency
STAT0002_2021,online,STAT0002,2,0.24491641639532902,0.13630420692844203,0.3477108001651296,342,Frequency
STAT0002_2021,online,STAT0002,3,0.27459214001782695,0.16739366779979892,0.3753735864081955,342,Frequency
STAT0002_2021,online,STAT0002,4,0.29080041738745954,0.18446460253271235,0.3904070066877857,342,Frequency
STAT0002_2021,online,STAT0002,5,0.2750538279793266,0.16787904050243488,0.3758025438706351,342,Frequency
STAT0002_2021,online,STAT0002,6,0.26949287298106867,0.1620362610398564,0.3706329489416239,342,Frequency
STAT0002_2021,online,STAT0002,7,0.26709473551243434,0.15951891109335767,0.3684016481371177,342,Frequency
STAT0002_2021,online,STAT0002,8,0.2610461432293046,0.1531758488076696,0.36276866283659737,342,Frequency
STAT0002_2021,online,STAT0002,9,0.26461875007368363,0.156921310377621,0.36609668992914524,342,Frequency
STAT0002_2021,online,STAT0002,10,0.26887818900893556,0.1613908875238093,0.37006113933123996,342,Frequency
STAT0002_2021,online,STAT0002,11,0.274337446658949,0.16712593082835253,0.3751369305771222,342,Frequency
STAT0002_2223,in_person,STAT0002,1,0.2705612192116817,0.14849566671990688,0.3845059763404675,267,Frequency
STAT0002_2223,in_person,STAT0002,2,0.35547796996729475,0.23911267443733727,0.4617770665916645,267,Frequency
STAT0002_2223,in_person,STAT0002,3,0.3489818071146777,0.23210809274331443,0.4559222482287434,267,Frequency
STAT0002_2223,in_person,STAT0002,4,0.3438101739282198,0.2265403572277316,0.45125456655682117,267,Frequency
STAT0002_2223,in_person,STAT0002,5,0.3502895597868541,0.2335172221857039,0.45710163538520265,267,Frequency
STAT0002_2223,in_person,STAT0002,6,0.3550680882781092,0.23867035530294445,0.4614079247367786,267,Frequency
STAT0002_2223,in_person,STAT0002,7,0.3641299233950767,0.24846061337181047,0.4695604842520848,267,Frequency
STAT0002_2223,in_person,STAT0002,8,0.3742389431316068,0.2594101906785696,0.47863398666922685,267,Frequency
STAT0002_2223,in_person,STAT0002,9,0.3832320587280853,0.26917595332429195,0.4866871946570059,267,Frequency
STAT0002_2223,in_person,STAT0002,10,0.38329541938688483,0.2692448409456835,0.48674387092028976,267,Frequency
STAT0002_2223,in_person,STAT0002,11,0.3840254854852915,0.2700386750569485,0.4873968539929586,267,Frequency
STAT0004_2021,online,STAT0004,1,0.1979239555959237,0.08219455023735477,0.30838661027382974,312,Frequency
STAT0004_2021,online,STAT0004,2,0.23494322210514987,0.1206342325920804,0.3431032814517853,312,Frequency
STAT0004_2021,online,STAT0004,3,0.2635522043179344,0.15057762700894045,0.3697318735553519,312,Frequency
STAT0004_2021,online,STAT0004,4,0.2632572635341475,0.150267868144604,0.36945823631838537,312,Frequency
STAT0004_2021,online,STAT0004,5,0.2769608385910844,0.16468338984379646,0.3821525810393336,312,Frequency
STAT0004_2021,online,STAT0004,6,0.2591410627713282,0.1459471798148839,0.36563742522562803,312,Frequency
STAT0004_2021,online,STAT0004,7,0.2470909354152584,0.13332319399234163,0.3544313754054312,312,Frequency
STAT0004_2021,online,STAT0004,8,0.24111945625263512,0.12708098780815855,0.34886673288034087,312,Frequency
STAT0004_2021,online,STAT0004,9,0.2490768959582677,0.13540119347488794,0.3562803493832805,312,Frequency
STAT0004_2021,online,STAT0004,10,0.2642575816596346,0.15131853309647209,0.37038622686230976,312,Frequency
STAT0004_2021,online,STAT0004,11,0.24463738034927424,0.1307573099743049,0.35214590072460233,312,Frequency
STAT0004_2122,hybrid,STAT0004,1,0.21834146272477414,0.06201879840517699,0.36420829471323163,172,Frequency
STAT0004_2122,hybrid,STAT0004,2,0.21371572840391914,0.05718385619997903,0.35999232052199054,172,Frequency
STAT0004_2122,hybrid,STAT0004,3,0.19758714764994614,0.04038306544747598,0.3452455746809297,172,Frequency
STAT0004_2122,hybrid,STAT0004,4,0.20419992822384356,0.04726071997548775,0.3513006292345224,172,Frequency
STAT0004_2122,hybrid,STAT0004,5,0.22305698066607388,0.06695514827376534,0.368499954434929,172,Frequency
STAT0004_2122,hybrid,STAT0004,6,0.2142552651313218,0.05774741652808627,0.3604843715823925,172,Frequency
STAT0004_2122,hybrid,STAT0004,7,0.22346767613887844,0.06738543905497568,0.36887344095368113,172,Frequency
STAT0004_2122,hybrid,STAT0004,8,0.23764368076517242,0.08227349157989634,0.3817363834811653,172,Frequency
STAT0004_2122,hybrid,STAT0004,9,0.227562520880783,0.07167883683621784,0.3725947270808184,172,Frequency
STAT0004_2122,hybrid,STAT0004,10,0.24265776289753505,0.08755608078091032,0.3862727095667945,172,Frequency
STAT0004_2122,hybrid,STAT0004,11,0.21688470354973938,0.06049536258501881,0.3628812238301334,172,Frequency
STAT0004_2223,in_person,STAT0004,1,0.04749316551988664,-0.10128556198942049,0.19419403749454547,197,Frequency
STAT0004_2223,in_person,STAT0004,2,0.10808781818162996,-0.04062888661415196,0.25211932728778336,197,Frequency
STAT0004_2223,in_person,STAT0004,3,0.17443068732962683,0.02706318460728519,0.3143776233319333,197,Frequency
STAT0004_2223,in_person,STAT0004,4,0.17771723307994716,0.030452075184451272,0.31743084208041256,197,Frequency
STAT0004_2223,in_person,STAT0004,5,0.1912263126085527,0.04441748573080976,0.32995049904306367,197,Frequency
STAT0004_2223,in_person,STAT0004,6,0.1681690131093554,0.020615879785641493,0.3085524698862393,197,Frequency
STAT0004_2223,in_person,STAT0004,7,0.16198853611707592,0.014264191053791349,0.3027925089438569,197,Frequency
STAT0004_2223,in_person,STAT0004,8,0.16726489761791336,0.019685974118556056,0.30771051225942014,197,Frequency
STAT0004_2223,in_person,STAT0004,9,0.16114478872217924,0.013397994041124253,0.3020053708546139,197,Frequency
STAT0004_2223,in_person,STAT0004,10,0.16577949097815003,0.018158749934880536,0.30632674951037225,197,Frequency
STAT0004_2223,in_person,STAT0004,11,0.1651845311896605,0.017547233838218396,0.30577233517428914,197,Frequency
STAT0002_2021,online,STAT0002,1,0.030531788892487047,-0.08211315994179809,0.14240648918053123,342,Immediacy
STAT0002_2021,online,STAT0002,2,0.1283450991792274,0.016215703000070057,0.23728637504096456,342,Immediacy
STAT0002_2021,online,STAT0002,3,0.1769280580547653,0.06587440794835131,0.28365223890201346,342,Immediacy
STAT0002_2021,online,STAT0002,4,0.2168748170200967,0.10712199994203736,0.3214058037918313,342,Immediacy
STAT0002_2021,online,STAT0002,5,0.20170965087569703,0.09141837844957262,0.30711227476907316,342,Immediacy
STAT0002_2021,online,STAT0002,6,0.21368550318291146,0.10381489273004316,0.3184037499757972,342,Immediacy
STAT0002_2021,online,STAT0002,7,0.208239920093101,0.09817379369821981,0.3132730437542558,342,Immediacy
STAT0002_2021,online,STAT0002,8,0.20456273137473743,0.09436857728126624,0.30980500743203016,342,Immediacy
STAT0002_2021,online,STAT0002,9,0.20871835767481164,0.09866912564505856,0.3137240627330126,342,Immediacy
STAT0002_2021,online,STAT0002,10,0.21861644958234913,0.10892898335789578,0.32304429016434133,342,Immediacy
STAT0002_2021,online,STAT0002,11,0.23065723561919868,0.12144143411264888,0.33435487516150453,342,Immediacy
STAT0002_2223,in_person,STAT0002,1,0.18734669368356408,0.06164023617884028,0.30720242763279054,267,Immediacy
STAT0002_2223,in_person,STAT0002,2,0.22463230406648538,0.10032321337280613,0.3420362261422223,267,Immediacy
STAT0002_2223,in_person,STAT0002,3,0.2501067475742257,0.12697024691299336,0.3656514328164692,267,Immediacy
STAT0002_2223,in_person,STAT0002,4,0.21938108705981016,0.09485236242210893,0.3371497605854084,267,Immediacy
STAT0002_2223,in_person,STAT0002,5,0.26600059105156315,0.14368621404409068,0.3803102952090759,267,Immediacy
STAT0002_2223,in_person,STAT0002,6,0.2883830893212055,0.16734541934785369,0.40085669933608525,267,Immediacy
STAT0002_2223,in_person,STAT0002,7,0.31369483899064027,0.19426999134880427,0.4239565330199689,267,Immediacy
STAT0002_2223,in_person,STAT0002,8,0.34715147342690655,0.23013669533231834,0.45427094430870607,267,Immediacy
STAT0002_2223,in_person,STAT0002,9,0.3676141291747352,0.2522311927989875,0.47269030256148714,267,Immediacy
STAT0002_2223,in_person,STAT0002,10,0.3728481609095989,0.2579020125585563,0.47738699061366957,267,Immediacy
STAT0002_2223,in_person,STAT0002,11,0.38561423036265313,0.2717667254099758,0.48881745396963294,267,Immediacy
STAT0004_2021,online,STAT0004,1,0.1929341398985285,0.07703947810719343,0.3036845477193686,312,Immediacy
STAT0004_2021,online,STAT0004,2,0.17979958153971543,0.06349947804054598,0.2912815903064839,312,Immediacy
STAT0004_2021,online,STAT0004,3,0.1855516406512468,0.06942382873131514,0.29671787371146263,312,Immediacy
STAT0004_2021,online,STAT0004,4,0.20842487849795574,0.09306351794274263,0.3182643634836639,312,Immediacy
STAT0004_2021,online,STAT0004,5,0.23454195614776077,0.12021572435032699,0.34272855175497374,312,Immediacy
STAT0004_2021,online,STAT0004,6,0.24089641338256532,0.1268480077813889,0.3486587386192044,312,Immediacy
STAT0004_2021,online,STAT0004,7,0.24183497796771644,0.1278284728716871,0.3495339070088886,312,Immediacy
STAT0004_2021,online,STAT0004,8,0.22940365139336721,0.1148602174532504,0.33792700507131324,312,Immediacy
STAT0004_2021,online,STAT0004,9,0.23603992198898996,0.12177826468721872,0.34412727947954835,312,Immediacy
STAT0004_2021,online,STAT0004,10,0.26227147510961746,0.14923271381172262,0.36854351762961096,312,Immediacy
STAT0004_2021,online,STAT0004,11,0.27665766749753834,0.16436394831214188,0.38187216644162075,312,Immediacy
