condition,week,rho,lo,hi,n,indicator
online,1,0.24079340546665534,0.13200163796110412,0.34385324617118485,342,Frequency
online,2,0.24491641639532902,0.13630420692844203,0.3477108001651296,342,Frequency
online,3,0.27459214001782695,0.16739366779979892,0.3753735864081955,342,Frequency
online,4,0.29080041738745954,0.18446460253271235,0.3904070066877857,342,Frequency
online,5,0.2750538279793266,0.16787904050243488,0.3758025438706351,342,Frequency
online,6,0.26949287298106867,0.1620362610398564,0.3706329489416239,342,Frequency
online,7,0.26709473551243434,0.15951891109335767,0.3684016481371177,342,Frequency
online,8,0.2610461432293046,0.1531758488076696,0.36276866283659737,342,Frequency
online,9,0.26461875007368363,0.156921310377621,0.36609668992914524,342,Frequency
online,10,0.26887818900893556,0.1613908875238093,0.37006113933123996,342,Frequency
online,11,0.274337446658949,0.16712593082835253,0.3751369305771222,342,Frequency
in_person,1,0.2705612192116817,0.14849566671990688,0.3845059763404675,267,Frequency
in_person,2,0.35547796996729475,0.23911267443733727,0.4617770665916645,267,Frequency
in_person,3,0.3489818071146777,0.23210809274331443,0.4559222482287434,267,Frequency
in_person,4,0.3438101739282198,0.2265403572277316,0.45125456655682117,267,Frequency
in_person,5,0.3502895597868541,0.2335172221857039,0.45710163538520265,267,Frequency
in_person,6,0.3550680882781092,0.23867035530294445,0.4614079247367786,267,Frequency
in_person,7,0.3641299233950767,0.24846061337181047,0.4695604842520848,267,Frequency
in_person,8,0.3742389431316068,0.2594101906785696,0.47863398666922685,267,Frequency
in_person,9,0.3832320587280853,0.26917595332429195,0.4866871946570059,267,Frequency
in_person,10,0.38329541938688483,0.2692448409456835,0.48674387092028976,267,Frequency
in_person,11,0.3840254854852915,0.2700386750569485,0.4873968539929586,267,Frequency
online,1,0.030531788892487047,-0.08211315994179809,0.14240648918053123,342,Immediacy
online,2,0.1283450991792274,0.016215703000070057,0.23728637504096456,342,Immediacy
online,3,0.1769280580547653,0.06587440794835131,0.28365223890201346,342,Immediacy
online,4,0.2168748170200967,0.10712199994203736,0.3214058037918313,342,Immediacy
online,5,0.20170965087569703,0.09141837844957262,0.30711227476907316,342,Immediacy
online,6,0.21368550318291146,0.10381489273004316,0.3184037499757972,342,Immediacy
online,7,0.208239920093101,0.09817379369821981,0.3132730437542558,342,Immediacy
online,8,0.20456273137473743,0.09436857728126624,0.30980500743203016,342,Immediacy
online,9,0.20871835767481164,0.09866912564505856,0.3137240627330126,342,Immediacy
online,10,0.21861644958234913,0.10892898335789578,0.32304429016434133,342,Immediacy
online,11,0.23065723561919868,0.12144143411264888,0.33435487516150453,342,Immediacy
in_person,1,0.18734669368356408,0.06164023617884028,0.30720242763279054,267,Immediacy
in_person,2,0.22463230406648538,0.10032321337280613,0.3420362261422223,267,Immediacy
in_person,3,0.2501067475742257,0.12697024691299336,0.3656514328164692,267,Immediacy
in_person,4,0.21938108705981016,0.09485236242210893,0.3371497605854084,267,Immediacy
in_person,5,0.26600059105156315,0.14368621404409068,0.3803102952090759,267,Immediacy
in_person,6,0.2883830893212055,0.16734541934785369,0.40085669933608525,267,Immediacy
in_person,7,0.31369483899064027,0.19426999134880427,0.4239565330199689,267,Immediacy
in_person,8,0.34715147342690655,0.23013669533231834,0.45427094430870607,267,Immediacy
in_person,9,0.3676141291747352,0.2522311927989875,0.47269030256148714,267,Immediacy
in_person,10,0.3728481609095989,0.2579020125585563,0.47738699061366957,267,Immediacy
in_person,11,0.38561423036265313,0.2717667254099758,0.48881745396963294,267,Immediacy
online,1,0.21670555931734978,0.10694642987047337,0.3212465368053445,342,Diversity
online,2,0.23378750399754053,0.12470001684787811,0.33729042747743965,342,Diversity
online,3,0.2773969168833506,0.17034313191289613,0.37797885855156177,342,Diversity
online,4,0.31099349085364825,0.2058225560989195,0.40906236524405104,342,Diversity
online,5,0.3079632698665735,0.20261112805933035,0.40626811557414944,342,Diversity
online,6,0.30309559679100934,0.19745710785961712,0.40177564891356976,342,Diversity
online,7,0.30186577885847665,0.19615586778628635,0.4006398747764151,342,Diversity
